indicator,base_year,year,month,state,index_al,index_rl,inflation_al,inflation_rl
General Index,2019,2025,June,Andhra Pradesh,137.77,137.89,4.26,4.26
General Index,2019,2025,June,Arunachal Pradesh,133.98,134.52,2.18,2.19
General Index,2019,2025,June,Assam,136.86,137.12,1.3,1.22
General Index,2019,2025,June,Bihar,130.33,129.96,-0.14,-0.04
General Index,2019,2025,June,Chhattisgarh,127.98,128.36,0.75,0.76
General Index,2019,2025,June,Delhi,0.00,134.00,3.08,0
General Index,2019,2025,June,Goa,126.07,126.52,2.77,3.2
General Index,2019,2025,June,Gujarat,136.45,136.22,1.98,2.04
General Index,2019,2025,June,Haryana,140.78,139.55,2.16,2.34
General Index,2019,2025,June,Himachal Pradesh,134.02,135.66,3.57,3.4
General Index,2019,2025,June,Jammu & Kashmir,143.68,143.91,3.32,3.18
General Index,2019,2025,June,Jharkhand,129.93,130.41,2.35,1.75
General Index,2019,2025,June,Karnataka,138.72,139.38,4.03,3.92
General Index,2019,2025,June,Kerala,137.01,137.24,3.97,3.73
General Index,2019,2025,June,Madhya Pradesh,130.98,131.69,0.54,0.33
General Index,2019,2025,June,Maharashtra,130.94,131.26,0.47,0.31
General Index,2019,2025,June,Manipur,142.46,140.13,6.88,5.84
General Index,2019,2025,June,Meghalaya,136.63,136.69,1.97,1.85
General Index,2019,2025,June,Mizoram,145.66,143.08,4.1,4.43
General Index,2019,2025,June,Nagaland,134.48,136.10,1.37,0.98
General Index,2019,2025,June,Odisha,128.83,129.08,-1.11,-1.09
General Index,2019,2025,June,Punjab,135.73,135.24,4.66,4.58
General Index,2019,2025,June,Rajasthan,135.06,134.63,2.71,2.8
General Index,2019,2025,June,Sikkim,129.33,129.19,0.77,0.63
General Index,2019,2025,June,Tamil Nadu,133.27,132.63,1.67,1.42
General Index,2019,2025,June,Telangana,137.70,137.71,-0.9,-1.07
General Index,2019,2025,June,Tripura,127.26,127.93,-0.49,-0.35
General Index,2019,2025,June,Uttarakhand,128.49,128.34,1.57,1.6
General Index,2019,2025,June,Uttar Pradesh,135.88,135.93,1.19,1.09
General Index,2019,2025,June,West Bengal,133.17,132.55,0.59,0.51
General Index,2019,2025,June,Andaman & N.Islands,138.01,138.17,3.27,3.32
General Index,2019,2025,June,Lakshadweep,135.30,133.96,1.42,0.91
General Index,2019,2025,June,Puducherry,135.08,135.10,2.75,3.05
General Index,2019,2025,June,Dadra & Nagar Haveli and Daman & Diu,134.64,133.21,-1.81,-1.62
General Index,2019,2025,June,All India,134.08,134.37,1.73,1.42
General Index,2019,2025,July,Andhra Pradesh,141.33,141.50,6.99,6.89
General Index,2019,2025,July,Arunachal Pradesh,134.61,135.23,1.67,1.63
General Index,2019,2025,July,Assam,137.51,137.72,-0.22,-0.22
General Index,2019,2025,July,Bihar,131.57,131.19,-1.65,-1.55
General Index,2019,2025,July,Chhattisgarh,130.83,131.21,0.65,0.65
General Index,2019,2025,July,Delhi,0.00,134.69,2.07,0
General Index,2019,2025,July,Goa,126.82,126.66,1.81,2.71
General Index,2019,2025,July,Gujarat,138.31,137.96,1.26,1.4
General Index,2019,2025,July,Haryana,143.19,142.00,1.09,1.13
General Index,2019,2025,July,Himachal Pradesh,134.89,137.09,1.92,1.62
General Index,2019,2025,July,Jammu & Kashmir,144.93,145.32,2.87,2.6
General Index,2019,2025,July,Jharkhand,132.35,132.72,1.35,0.94
General Index,2019,2025,July,Karnataka,138.88,139.54,4.03,3.97
General Index,2019,2025,July,Kerala,139.22,139.35,5.44,5.34
General Index,2019,2025,July,Madhya Pradesh,132.82,133.37,-0.79,-0.88
General Index,2019,2025,July,Maharashtra,132.04,132.37,0.3,0.14
General Index,2019,2025,July,Manipur,144.68,142.63,4.65,3.91
General Index,2019,2025,July,Meghalaya,136.55,136.85,-0.27,-0.53
General Index,2019,2025,July,Mizoram,146.50,143.80,4.56,4.88
General Index,2019,2025,July,Nagaland,135.06,136.59,0.88,0.6
General Index,2019,2025,July,Odisha,131.34,131.51,-1.74,-1.71
General Index,2019,2025,July,Punjab,137.08,136.54,3.34,3.23
General Index,2019,2025,July,Rajasthan,137.15,136.54,2.05,2.11
General Index,2019,2025,July,Sikkim,130.35,130.15,-0.35,-0.62
General Index,2019,2025,July,Tamil Nadu,131.68,131.12,-0.42,-0.73
General Index,2019,2025,July,Telangana,138.72,138.76,-0.54,-0.66
General Index,2019,2025,July,Tripura,126.95,127.63,-3.37,-3.04
General Index,2019,2025,July,Uttarakhand,130.94,130.13,-0.06,0.27
General Index,2019,2025,July,Uttar Pradesh,137.67,137.63,-0.71,-0.86
General Index,2019,2025,July,West Bengal,133.73,133.01,-1.18,-1.21
General Index,2019,2025,July,Andaman & N.Islands,139.04,139.54,3.07,2.73
General Index,2019,2025,July,Lakshadweep,136.49,135.03,1.06,0.56
General Index,2019,2025,July,Puducherry,136.13,136.07,2.85,3.36
General Index,2019,2025,July,Dadra & Nagar Haveli and Daman & Diu,137.37,136.15,-2.11,-1.6
General Index,2019,2025,July,All India,135.31,135.66,1.01,0.77
General Index,2019,2025,August,Andhra Pradesh,141.96,142.12,3.22,3.06
General Index,2019,2025,August,Arunachal Pradesh,135.08,135.65,0.78,0.82
General Index,2019,2025,August,Assam,138.57,138.73,-0.29,-0.31
General Index,2019,2025,August,Bihar,133.51,133.20,-1.71,-1.61
General Index,2019,2025,August,Chhattisgarh,133.35,133.63,2.59,2.7
General Index,2019,2025,August,Delhi,0.00,135.63,2.5,0
General Index,2019,2025,August,Goa,127.92,127.60,2.6,3.49
General Index,2019,2025,August,Gujarat,137.30,137.02,0.15,0.2
General Index,2019,2025,August,Haryana,143.31,142.14,0.4,0.49
General Index,2019,2025,August,Himachal Pradesh,136.26,138.57,2.95,2.64
General Index,2019,2025,August,Jammu & Kashmir,146.62,146.96,3.39,3.18
General Index,2019,2025,August,Jharkhand,133.15,133.47,1.31,0.75
